month,year,admin_ascii,total_cases,confirmed_cases
2,2013,santander,1015,332
2,2013,sucre,244,120
2,2013,tolima,782,173
2,2013,valle,1399,707
2,2013,vaupes,2,0
2,2013,vichada,17,14
2,2014,amazonas,24,13
2,2014,antioquia,370,232
2,2014,arauca,79,45
2,2014,atlantico,421,295
2,2014,bogota,9,5
2,2014,bolivar,229,195
2,2014,boyaca,35,30
2,2014,caldas,73,67
2,2014,caqueta,46,28
2,2014,casanare,94,31
2,2014,cauca,38,24
2,2014,cesar,188,70
2,2014,choco,15,14
2,2014,cordoba,342,285
2,2014,cundinamarca,262,151
2,2014,exterior,16,8
2,2014,guainia,28,25
2,2014,guajira,169,127
2,2014,guaviare,32,29
2,2014,huila,857,559
2,2014,magdalena,108,59
2,2014,meta,538,193
2,2014,nari�o,45,26
2,2014,norte santander,628,340
2,2014,procedencia desconocida,,
2,2014,putumayo,197,91
2,2014,quindio,225,74
2,2014,risaralda,44,39
2,2014,san andres,5,5
2,2014,santander,1028,360
2,2014,sucre,317,167
2,2014,tolima,632,161
2,2014,valle,755,393
2,2014,vaupes,1,0
2,2014,vichada,30,26
2,2015,amazonas,43,24
2,2015,antioquia,316,141
2,2015,arauca,45,11
2,2015,atlantico,163,106
2,2015,bogota,,
2,2015,bolivar,114,51
2,2015,boyaca,58,54
2,2015,caldas,80,74
2,2015,caqueta,63,38
2,2015,casanare,298,24
2,2015,cauca,72,17
2,2015,cesar,221,100
2,2015,choco,21,8
2,2015,cordoba,91,60
2,2015,cundinamarca,389,118
2,2015,exterior,4,2
2,2015,guainia,4,2
2,2015,guajira,42,33
2,2015,guaviare,21,10
2,2015,huila,362,100
2,2015,magdalena,46,23
2,2015,meta,1055,128
2,2015,nari�o,53,45
2,2015,norte santander,177,93
2,2015,procedencia desconocida,1,0
2,2015,putumayo,138,3
2,2015,quindio,256,63
2,2015,risaralda,39,20
2,2015,san andres,1,1
2,2015,santander,674,137
2,2015,sucre,139,46
2,2015,tolima,965,182
2,2015,valle,2197,628
2,2015,vaupes,,
2,2015,vichada,3,3
2,2016,amazonas,19,2
2,2016,antioquia,2044,1249
2,2016,arauca,73,41
2,2016,atlantico,163,82
2,2016,bogota,,
2,2016,bolivar,137,37
2,2016,boyaca,263,152
2,2016,caldas,103,82
2,2016,caqueta,252,97
2,2016,casanare,197,37
2,2016,cauca,135,89
2,2016,cesar,101,30
2,2016,choco,24,15
2,2016,cordoba,109,66
2,2016,cundinamarca,848,468
2,2016,exterior,10,7
2,2016,guainia,58,27
2,2016,guajira,20,16
2,2016,guaviare,48,32
2,2016,huila,654,278
2,2016,magdalena,50,31
2,2016,meta,412,91
2,2016,nari�o,59,46
2,2016,norte santander,248,107
2,2016,procedencia desconocida,1,0
2,2016,putumayo,269,19
2,2016,quindio,452,139
