month,city_ascii,year,total_cases,confirmed_cases,city_ascii,lat,lng,admin_ascii,population,population_proper
1,acevedo,2009,1,1,acevedo,1.8047,-75.8897,huila,39877,39877
4,acevedo,2009,3,3,acevedo,1.8047,-75.8897,huila,39877,39877
12,acevedo,2009,3,3,acevedo,1.8047,-75.8897,huila,39877,39877
10,acevedo,2009,1,0,acevedo,1.8047,-75.8897,huila,39877,39877
3,acevedo,2009,2,2,acevedo,1.8047,-75.8897,huila,39877,39877
11,acevedo,2009,3,2,acevedo,1.8047,-75.8897,huila,39877,39877
2,acevedo,2009,1,1,acevedo,1.8047,-75.8897,huila,39877,39877
5,acevedo,2009,1,1,acevedo,1.8047,-75.8897,huila,39877,39877
6,acevedo,2009,1,1,acevedo,1.8047,-75.8897,huila,39877,39877
2,acevedo,2010,6,6,acevedo,1.8047,-75.8897,huila,39877,39877
5,acevedo,2010,7,6,acevedo,1.8047,-75.8897,huila,39877,39877
7,acevedo,2010,3,2,acevedo,1.8047,-75.8897,huila,39877,39877
1,acevedo,2010,3,3,acevedo,1.8047,-75.8897,huila,39877,39877
6,acevedo,2010,4,4,acevedo,1.8047,-75.8897,huila,39877,39877
12,acevedo,2010,2,1,acevedo,1.8047,-75.8897,huila,39877,39877
3,acevedo,2010,2,1,acevedo,1.8047,-75.8897,huila,39877,39877
8,acevedo,2010,3,2,acevedo,1.8047,-75.8897,huila,39877,39877
4,acevedo,2010,3,3,acevedo,1.8047,-75.8897,huila,39877,39877
9,acevedo,2010,1,0,acevedo,1.8047,-75.8897,huila,39877,39877
10,acevedo,2010,1,0,acevedo,1.8047,-75.8897,huila,39877,39877
5,acevedo,2011,2,1,acevedo,1.8047,-75.8897,huila,39877,39877
3,acevedo,2011,2,1,acevedo,1.8047,-75.8897,huila,39877,39877
12,acevedo,2011,1,1,acevedo,1.8047,-75.8897,huila,39877,39877
7,acevedo,2011,1,1,acevedo,1.8047,-75.8897,huila,39877,39877
5,acevedo,2012,5,2,acevedo,1.8047,-75.8897,huila,39877,39877
4,acevedo,2012,8,4,acevedo,1.8047,-75.8897,huila,39877,39877
9,acevedo,2012,2,1,acevedo,1.8047,-75.8897,huila,39877,39877
3,acevedo,2012,2,1,acevedo,1.8047,-75.8897,huila,39877,39877
6,acevedo,2012,4,2,acevedo,1.8047,-75.8897,huila,39877,39877
8,acevedo,2012,1,1,acevedo,1.8047,-75.8897,huila,39877,39877
10,acevedo,2012,3,1,acevedo,1.8047,-75.8897,huila,39877,39877
7,acevedo,2012,2,2,acevedo,1.8047,-75.8897,huila,39877,39877
2,acevedo,2012,3,0,acevedo,1.8047,-75.8897,huila,39877,39877
1,acevedo,2012,1,1,acevedo,1.8047,-75.8897,huila,39877,39877
8,acevedo,2013,3,1,acevedo,1.8047,-75.8897,huila,39877,39877
12,acevedo,2013,2,1,acevedo,1.8047,-75.8897,huila,39877,39877
3,acevedo,2013,1,0,acevedo,1.8047,-75.8897,huila,39877,39877
4,acevedo,2013,6,2,acevedo,1.8047,-75.8897,huila,39877,39877
6,acevedo,2013,3,3,acevedo,1.8047,-75.8897,huila,39877,39877
9,acevedo,2013,5,1,acevedo,1.8047,-75.8897,huila,39877,39877
5,acevedo,2013,4,3,acevedo,1.8047,-75.8897,huila,39877,39877
1,acevedo,2013,1,1,acevedo,1.8047,-75.8897,huila,39877,39877
7,acevedo,2013,4,0,acevedo,1.8047,-75.8897,huila,39877,39877
10,acevedo,2013,1,1,acevedo,1.8047,-75.8897,huila,39877,39877
2,acevedo,2013,3,0,acevedo,1.8047,-75.8897,huila,39877,39877
3,acevedo,2014,8,5,acevedo,1.8047,-75.8897,huila,39877,39877
6,acevedo,2014,4,2,acevedo,1.8047,-75.8897,huila,39877,39877
2,acevedo,2014,3,2,acevedo,1.8047,-75.8897,huila,39877,39877
1,acevedo,2014,6,3,acevedo,1.8047,-75.8897,huila,39877,39877
5,acevedo,2014,1,1,acevedo,1.8047,-75.8897,huila,39877,39877
4,acevedo,2014,3,1,acevedo,1.8047,-75.8897,huila,39877,39877
12,acevedo,2014,3,1,acevedo,1.8047,-75.8897,huila,39877,39877
,acevedo,2014,2,1,acevedo,1.8047,-75.8897,huila,39877,39877
